=========================================================
 [ 종합 RMSE 비교 요약: 거리별(m) ]
=========================================================
Dist(m)    | Prop             | MUSIC            | LSTM             | MLP              | 1D-CNN
      94 | 0.6690           | 44.1931          | 3.1251           | 18.9574          | 18.0839
      95 | 0.6703           | 44.3530          | 3.1193           | 18.8479          | 18.0054
      96 | 0.6714           | 44.8252          | 3.1520           | 19.2363          | 18.2982
      97 | 0.6704           | 44.9916          | 3.1793           | 19.7389          | 18.5175
      98 | 0.6734           | 44.8323          | 3.1688           | 19.6368          | 18.1244
      99 | 0.6719           | 44.9263          | 3.1615           | 19.6711          | 18.2068
     100 | 0.6758           | 44.5100          | 3.1911           | 20.2267          | 18.2998


=========================================================
 [ 종합 RMSE 비교 요약: TDOA 노이즈 표준편차별(us) ]
=========================================================
Std(us)    | Prop             | MUSIC            | LSTM             | MLP              | 1D-CNN
---------------------------------------------------------------------------------------------------------
       0 | 0.6497           | 44.4097          | 3.0780           | 11.6359          | 17.6259
       1 | 0.6516           | 44.4783          | 3.1161           | 11.8116          | 18.1107
       2 | 0.6508           | 43.9367          | 3.1026           | 11.8497          | 18.0332
       3 | 0.6474           | 45.3127          | 3.0757           | 11.6172          | 17.5932
       4 | 0.6487           | 43.7488          | 3.0806           | 11.6085          | 17.7043
       5 | 0.6461           | 44.8820          | 3.0808           | 11.7881          | 17.9691
       6 | 0.6492           | 43.8747          | 3.1228           | 11.7232          | 17.8082
       7 | 0.6455           | 45.0767          | 3.0672           | 11.6484          | 17.7379
       8 | 0.6458           | 44.1130          | 3.0944           | 11.7145          | 17.8050
       9 | 0.6513           | 44.8104          | 3.0902           | 11.7324          | 17.7702
      10 | 0.6500           | 44.2922          | 3.0849           | 11.7701          | 17.8092
      11 | 0.6470           | 44.3975          | 3.0864           | 11.6635          | 17.7575
      12 | 0.6484           | 44.6165          | 3.1293           | 11.8090          | 17.9076
      13 | 0.6482           | 44.1324          | 3.0748           | 11.7028          | 17.6490
      14 | 0.6485           | 43.4909          | 3.1183           | 11.7162          | 17.7795
      15 | 0.6495           | 44.7589          | 3.0795           | 11.7220          | 17.7155
      16 | 0.6497           | 45.1165          | 3.1167           | 11.7710          | 17.7453
      17 | 0.6474           | 44.4367          | 3.0992           | 11.8423          | 18.0161
      18 | 0.6452           | 44.0383          | 3.0721           | 11.7705          | 17.8784
      19 | 0.6517           | 44.2359          | 3.1052           | 11.9345          | 17.9980
      20 | 0.6502           | 43.8607          | 3.0888           | 11.9208          | 17.9226
      21 | 0.6507           | 43.6391          | 3.0943           | 11.8825          | 17.9812
      22 | 0.6494           | 43.9444          | 3.0858           | 11.7760          | 17.7448
      23 | 0.6513           | 43.9263          | 3.1129           | 11.8822          | 17.8746
      24 | 0.6452           | 44.7256          | 3.0385           | 11.7337          | 17.5706
      25 | 0.6457           | 43.9617          | 3.0878           | 11.8416          | 17.6857
      26 | 0.6515           | 43.9506          | 3.1304           | 11.9376          | 17.9253
      27 | 0.6450           | 43.9294          | 3.0839           | 11.8358          | 17.6952
      28 | 0.6448           | 44.3047          | 3.0588           | 11.8092          | 17.5471
      29 | 0.6480           | 43.9619          | 3.0651           | 11.9008          | 17.7868
      30 | 0.6502           | 44.8123          | 3.0734           | 11.9800          | 17.8451
      31 | 0.6463           | 44.0216          | 3.0701           | 11.9743          | 17.8778
      32 | 0.6466           | 45.3692          | 3.0856           | 11.9246          | 17.7658
      33 | 0.6461           | 44.2806          | 3.0772           | 11.8934          | 17.6132
      34 | 0.6458           | 43.8456          | 3.0717           | 11.8648          | 17.5622
      35 | 0.6480           | 44.2018          | 3.0995           | 12.0442          | 17.8223
      36 | 0.6478           | 44.0539          | 3.1172           | 12.0646          | 17.7973
      37 | 0.6503           | 44.5035          | 3.0832           | 12.0221          | 17.7346
      38 | 0.6442           | 44.3275          | 3.1199           | 12.0401          | 17.7508
      39 | 0.6452           | 44.9705          | 3.0931           | 11.9993          | 17.7717
      40 | 0.6531           | 44.5647          | 3.1149           | 12.1106          | 17.8531
      41 | 0.6469           | 43.8809          | 3.0835           | 12.0719          | 17.7477
      42 | 0.6505           | 43.4230          | 3.1520           | 12.2203          | 17.8536
      43 | 0.6483           | 43.9593          | 3.0624           | 12.0562          | 17.5934
      44 | 0.6535           | 44.1687          | 3.1079           | 12.2057          | 17.9088
      45 | 0.6492           | 43.1692          | 3.1024           | 12.3246          | 18.0162
      46 | 0.6491           | 44.2558          | 3.0961           | 12.2255          | 17.7746
      47 | 0.6470           | 44.7315          | 3.0928           | 12.2283          | 17.8024
      48 | 0.6497           | 44.4854          | 3.0861           | 12.2756          | 17.9620
      49 | 0.6495           | 44.8311          | 3.1153           | 12.1920          | 17.6422
      50 | 0.6474           | 44.2151          | 3.0624           | 12.1771          | 17.7122
      51 | 0.6469           | 43.1476          | 3.0974           | 12.3307          | 17.9982
      52 | 0.6473           | 44.6889          | 3.1001           | 12.3412          | 17.8582
      53 | 0.6469           | 44.5606          | 3.0806           | 12.2452          | 17.7708
      54 | 0.6462           | 43.7886          | 3.0901           | 12.3201          | 17.8689
      55 | 0.6474           | 43.9411          | 3.0570           | 12.3210          | 17.7803
      56 | 0.6506           | 43.9923          | 3.1136           | 12.3310          | 17.8445
      57 | 0.6521           | 44.3937          | 3.0972           | 12.3546          | 17.7519
      58 | 0.6477           | 44.1375          | 3.0991           | 12.3762          | 17.7825
      59 | 0.6502           | 43.8266          | 3.0989           | 12.4189          | 17.7342
      60 | 0.6518           | 44.8740          | 3.1109           | 12.4747          | 17.9552
      61 | 0.6458           | 44.5748          | 3.0600           | 12.3964          | 17.6607
      62 | 0.6482           | 44.5030          | 3.0958           | 12.4600          | 17.8564
      63 | 0.6454           | 44.0886          | 3.0766           | 12.5048          | 17.8595
      64 | 0.6484           | 44.0785          | 3.0970           | 12.5507          | 17.8805
      65 | 0.6466           | 43.6686          | 3.0964           | 12.5017          | 17.8449
      66 | 0.6527           | 43.8985          | 3.1091           | 12.6204          | 18.0121
      67 | 0.6496           | 43.7317          | 3.1538           | 12.6650          | 18.1149
      68 | 0.6494           | 44.2701          | 3.0765           | 12.6075          | 18.0382
      69 | 0.6511           | 43.4804          | 3.1165           | 12.6193          | 18.0693
      70 | 0.6504           | 44.3958          | 3.0914           | 12.7275          | 18.1338
      71 | 0.6500           | 44.1248          | 3.1121           | 12.6998          | 18.0379
      72 | 0.6525           | 44.4169          | 3.1383           | 12.6007          | 17.6898
